Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
03/02/2022,Maryland,2021,8,2021-02-27,1176,1048,19,189,36,33,10,37,,17,0,241,65,162,137,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Maryland,2021,9,2021-03-06,1146,1031,21,197,32,17,,33,13,17,,256,66,100,87,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,10,2021-03-13,1096,971,16,208,46,22,13,36,11,,,206,71,115,89,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,11,2021-03-20,1143,1018,13,199,40,30,13,36,11,10,,231,77,124,100,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,12,2021-03-27,1113,1002,20,209,27,19,,39,,19,,246,73,96,84,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,13,2021-04-03,1062,959,15,188,31,20,10,26,14,16,10,221,65,122,103,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,14,2021-04-10,1159,1028,,224,20,22,14,37,21,17,,251,64,129,105,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,15,2021-04-17,1036,936,20,187,41,,,31,11,12,,243,64,118,97,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,16,2021-04-24,1103,983,13,187,30,17,,45,,12,,234,57,132,113,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,17,2021-05-01,1080,965,20,218,33,18,,32,,14,,229,67,120,99,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,18,2021-05-08,1019,896,13,189,36,13,,41,,,13,226,56,88,76,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Maryland,2021,19,2021-05-15,1053,925,,212,32,12,15,37,,16,,222,62,79,66,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,20,2021-05-22,1014,893,17,198,28,22,,30,,,,228,53,82,69,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,21,2021-05-29,1031,929,23,213,33,21,10,39,14,20,,224,60,63,52,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,22,2021-06-05,1024,900,17,216,36,21,18,22,11,,,223,64,37,35,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,23,2021-06-12,901,783,19,169,23,20,,32,12,14,,200,69,31,26,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,24,2021-06-19,950,838,17,202,35,24,,31,14,12,,205,57,26,17,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,25,2021-06-26,918,809,14,183,45,20,,34,10,17,,197,60,25,17,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,26,2021-07-03,980,851,11,239,20,20,,43,,14,,219,35,15,10,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,27,2021-07-10,884,774,16,181,26,21,,31,14,,,209,59,,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Maryland,2021,28,2021-07-17,940,810,13,188,26,23,18,31,14,11,,185,65,17,12,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,29,2021-07-24,931,816,16,204,34,18,,32,12,16,,204,48,19,12,,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,30,2021-07-31,958,848,17,192,40,15,15,22,,14,,217,55,20,18,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,31,2021-08-07,952,854,14,192,31,20,13,31,,11,,209,54,28,22,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,32,2021-08-14,972,861,13,211,30,23,11,38,13,14,10,206,57,32,26,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,33,2021-08-21,945,845,16,203,33,17,10,34,,10,,191,52,60,47,,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,34,2021-08-28,996,883,,187,25,16,13,38,14,12,,208,63,68,59,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,35,2021-09-04,1112,998,16,222,33,26,,43,12,,,249,66,90,82,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,36,2021-09-11,1067,957,15,186,28,17,,34,,14,,213,82,114,103,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,37,2021-09-18,1129,996,19,202,41,32,10,29,,14,11,205,55,112,94,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Maryland,2021,38,2021-09-25,1108,1012,22,203,30,23,13,28,13,15,,234,54,127,116,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Maryland,2021,39,2021-10-02,1111,1006,27,212,40,28,17,46,12,10,18,218,74,93,85,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,40,2021-10-09,1165,1056,22,218,34,29,11,48,10,11,13,242,60,121,106,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,41,2021-10-16,1093,966,17,192,40,24,12,26,,,10,216,50,122,102,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Maryland,2021,42,2021-10-23,1129,1036,22,220,38,22,21,30,11,11,12,232,61,116,106,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,43,2021-10-30,1073,948,13,180,34,20,18,23,13,14,10,236,58,99,84,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,44,2021-11-06,1076,964,22,198,30,23,13,31,12,14,13,215,69,95,78,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,45,2021-11-13,1102,1006,22,208,39,19,15,33,16,11,21,219,63,78,66,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,46,2021-11-20,1069,957,20,194,34,32,13,27,12,11,23,225,60,65,58,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,47,2021-11-27,1072,975,26,207,28,21,11,34,16,12,27,235,52,71,64,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,48,2021-12-04,1092,998,19,201,32,22,11,29,11,12,18,265,64,85,71,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,49,2021-12-11,1176,1087,18,202,36,17,15,44,15,23,43,244,63,117,97,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,50,2021-12-18,1195,1087,17,204,29,12,15,40,13,13,33,244,72,168,155,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,51,2021-12-25,1282,1176,15,199,35,27,12,35,12,16,51,267,73,188,166,,,,,,,,,,,,,,,
03/02/2022,Maryland,2021,52,2022-01-01,1301,1242,22,196,45,19,15,38,12,21,42,244,73,263,229,,,,,,,,,,,,,,,
03/02/2022,Maryland,2022,1,2022-01-08,1388,1303,22,189,40,28,15,34,,,34,263,63,381,330,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
03/02/2022,Maryland,2022,2,2022-01-15,1579,1479,23,209,49,29,14,49,14,11,48,278,64,465,401,,,,,,,,,,,,,,,
03/02/2022,Maryland,2022,3,2022-01-22,1526,1459,18,213,46,25,19,40,10,12,87,254,72,448,368,,,,,,,,,,,,,,,
03/02/2022,Maryland,2022,4,2022-01-29,1286,1240,21,199,38,26,15,38,15,17,70,237,52,316,256,,,,,,,,,,,,,,,
03/02/2022,Maryland,2022,5,2022-02-05,1063,1020,14,147,36,29,11,29,,17,70,217,61,224,176,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Maryland,2022,6,2022-02-12,788,769,16,154,18,17,10,25,,15,22,162,44,113,90,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Maryland,2022,7,2022-02-19,560,542,11,121,18,20,,18,,11,,105,46,60,45,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,1,2020-01-04,1242,1131,23,261,33,30,34,57,18,32,17,224,52,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,2,2020-01-11,1266,1168,23,277,21,30,36,62,19,35,17,253,45,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,3,2020-01-18,1189,1108,28,221,37,38,34,55,20,30,11,254,48,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,4,2020-01-25,1302,1197,24,242,36,30,50,63,28,30,,263,52,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,5,2020-02-01,1203,1110,17,250,29,41,47,64,16,31,15,226,38,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,6,2020-02-08,1231,1125,26,254,25,32,44,48,19,31,12,251,39,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,7,2020-02-15,1251,1152,10,295,35,33,42,62,30,23,17,214,50,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,8,2020-02-22,1164,1082,23,242,25,30,42,67,19,21,16,204,54,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Massachusetts,2020,9,2020-02-29,1276,1188,24,260,21,42,44,71,26,23,28,278,48,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,10,2020-03-07,1216,1114,20,254,39,37,40,67,21,29,13,221,40,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Massachusetts,2020,11,2020-03-14,1308,1216,14,285,23,42,44,57,27,35,15,254,54,0,0,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,12,2020-03-21,1169,1083,30,230,26,36,40,51,24,29,12,234,37,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Massachusetts,2020,13,2020-03-28,1285,1195,22,253,29,36,40,66,20,35,15,251,50,50,47,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,14,2020-04-04,1548,1473,18,284,34,37,51,75,30,22,14,249,47,230,219,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,15,2020-04-11,2036,1936,30,236,28,34,60,67,27,31,15,296,61,648,618,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,16,2020-04-18,2492,2397,25,237,42,40,53,74,30,28,17,275,53,1112,1062,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,17,2020-04-25,2533,2430,25,235,48,28,38,49,33,24,21,249,51,1238,1192,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,18,2020-05-02,2310,2213,27,237,45,51,32,50,24,21,12,234,46,1123,1068,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,19,2020-05-09,2068,1978,11,197,45,38,26,63,18,30,16,219,47,943,903,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,20,2020-05-16,1884,1777,17,213,36,29,37,47,23,26,15,204,41,789,743,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,21,2020-05-23,1577,1479,11,226,27,37,22,43,16,23,20,221,50,531,488,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,22,2020-05-30,1359,1257,11,247,29,30,19,43,13,21,11,186,45,392,358,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,23,2020-06-06,1236,1134,14,214,32,33,17,52,20,19,12,209,48,245,215,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,24,2020-06-13,1140,1034,11,213,32,31,24,40,,28,10,188,32,182,156,,,,,,,,,Suppressed (counts 1-9),,,,,,
03/02/2022,Massachusetts,2020,25,2020-06-20,1127,1029,15,231,18,33,20,41,13,18,10,194,41,131,110,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,26,2020-06-27,1084,976,13,243,21,29,17,39,13,22,,191,35,97,74,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,27,2020-07-04,1047,951,17,218,31,29,13,49,13,14,10,191,44,68,52,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,28,2020-07-11,1045,945,13,234,22,20,,40,13,16,13,225,30,58,42,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,29,2020-07-18,1058,960,17,222,30,26,11,42,14,30,14,212,31,35,26,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,30,2020-07-25,1085,983,12,252,36,23,10,30,22,21,12,201,38,36,26,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,31,2020-08-01,1022,922,14,236,26,32,,31,14,22,14,174,51,32,23,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,32,2020-08-08,994,890,15,247,23,27,,25,15,20,11,190,48,28,18,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,33,2020-08-15,1047,929,10,245,23,23,13,34,24,18,16,189,34,21,18,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,34,2020-08-22,1037,963,16,231,37,36,,37,12,25,15,193,44,33,23,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,35,2020-08-29,1057,965,16,241,28,19,,40,16,22,11,212,41,25,15,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,36,2020-09-05,1014,920,14,208,34,31,,44,21,17,14,201,42,19,12,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,37,2020-09-12,1012,909,16,225,26,23,13,37,11,19,12,199,25,22,13,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,38,2020-09-19,1094,1006,12,229,30,32,18,49,15,18,12,236,51,27,21,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,39,2020-09-26,1123,1041,13,286,15,31,15,35,18,24,,232,43,24,17,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,40,2020-10-03,1104,1008,13,234,35,30,20,35,16,21,10,240,37,27,20,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,41,2020-10-10,1101,999,19,260,26,31,18,36,15,26,,205,28,28,23,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,42,2020-10-17,1131,1028,12,227,38,40,20,40,16,25,11,242,47,46,39,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,43,2020-10-24,1193,1108,16,271,32,33,,47,13,21,15,244,52,58,51,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2020,44,2020-10-31,1088,1005,15,243,25,32,20,49,16,19,,223,43,54,45,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2020,45,2020-11-07,1218,1129,17,259,27,37,17,50,20,19,11,213,40,80,69,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,46,2020-11-14,1234,1135,14,266,32,26,28,47,15,19,11,222,53,91,78,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,47,2020-11-21,1214,1119,18,256,17,42,21,41,19,17,13,236,41,117,102,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,48,2020-11-28,1259,1146,10,232,27,42,19,51,13,26,14,227,42,153,134,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,49,2020-12-05,1329,1236,16,259,26,31,19,50,23,29,17,247,37,214,190,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,50,2020-12-12,1348,1254,16,226,27,29,24,45,21,21,21,233,41,257,230,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,51,2020-12-19,1426,1343,17,234,35,29,19,33,16,21,16,252,47,292,272,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,52,2020-12-26,1550,1447,21,261,29,47,24,47,15,20,16,245,46,360,327,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2020,53,2021-01-02,1521,1415,24,250,23,38,18,47,14,20,14,240,39,384,350,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,1,2021-01-09,1558,1456,22,240,35,41,22,37,15,38,16,254,44,390,359,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,2,2021-01-16,1558,1473,22,254,42,26,14,49,25,30,15,277,35,396,357,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,3,2021-01-23,1529,1433,17,243,35,33,21,44,18,26,14,255,43,394,348,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,4,2021-01-30,1571,1470,17,229,39,37,17,43,19,25,14,258,48,369,347,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,5,2021-02-06,1504,1393,17,275,33,32,18,45,19,28,16,238,48,296,259,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,6,2021-02-13,1363,1253,14,236,35,22,23,49,26,32,13,240,49,206,186,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,7,2021-02-20,1342,1247,18,225,27,35,21,47,23,20,15,225,59,184,158,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,8,2021-02-27,1269,1165,13,239,26,44,19,48,21,32,12,212,43,164,136,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,9,2021-03-06,1220,1115,19,247,29,26,16,57,24,15,13,224,48,115,96,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,10,2021-03-13,1213,1095,17,234,41,37,16,36,16,25,14,252,46,92,75,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,11,2021-03-20,1202,1073,24,237,28,25,18,39,19,23,11,234,49,88,72,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,12,2021-03-27,1169,1065,16,250,27,29,11,47,28,23,15,214,60,79,66,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,13,2021-04-03,1121,1019,16,243,28,27,21,31,20,27,12,221,36,78,65,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,14,2021-04-10,1115,1015,11,214,34,42,,34,17,26,13,227,40,60,52,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2021,15,2021-04-17,1139,1033,18,213,25,29,14,39,12,21,18,231,57,61,53,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,16,2021-04-24,1102,993,15,255,20,19,17,40,22,28,10,198,40,59,45,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,17,2021-05-01,1114,1021,18,238,26,32,13,52,19,30,,233,33,65,60,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Massachusetts,2021,18,2021-05-08,1137,1012,10,262,36,21,,48,10,21,11,195,46,55,45,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2021,19,2021-05-15,1105,1013,21,243,31,27,17,42,15,18,16,228,43,51,46,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,20,2021-05-22,1162,1054,21,259,23,30,15,47,16,30,18,196,44,50,47,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,21,2021-05-29,1068,979,18,232,24,27,15,37,18,19,12,221,47,32,26,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,22,2021-06-05,1078,973,10,223,23,32,11,55,12,25,11,224,34,27,26,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,23,2021-06-12,1082,982,17,246,30,29,17,44,10,23,15,221,29,23,19,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,24,2021-06-19,1018,914,10,251,32,33,,35,18,21,14,198,35,18,12,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2021,25,2021-06-26,1062,948,13,241,21,26,14,40,23,17,10,210,42,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Massachusetts,2021,26,2021-07-03,1056,972,18,228,26,27,,41,22,30,10,218,48,16,12,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2021,27,2021-07-10,1133,1016,23,260,27,26,12,47,16,22,16,250,42,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
03/02/2022,Massachusetts,2021,28,2021-07-17,1029,933,15,223,25,27,10,55,25,22,14,207,29,13,11,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,29,2021-07-24,1113,1020,15,245,27,24,10,57,28,20,17,226,48,25,19,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,30,2021-07-31,1118,1008,15,245,31,23,,35,20,21,26,233,39,17,14,,,,,,,Suppressed (counts 1-9),,,,,,,,
03/02/2022,Massachusetts,2021,31,2021-08-07,1139,1024,15,247,27,22,14,50,18,22,19,213,43,18,16,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,32,2021-08-14,1101,995,15,251,25,25,10,46,18,16,23,222,49,39,30,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,33,2021-08-21,1131,1025,19,273,20,22,14,47,11,24,21,222,38,34,32,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,34,2021-08-28,1131,1011,16,251,26,23,13,46,17,29,24,201,34,46,43,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,35,2021-09-04,1152,1038,19,252,22,25,12,43,19,24,18,210,36,67,60,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,36,2021-09-11,1197,1097,29,248,25,30,16,38,27,16,23,245,40,77,70,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,37,2021-09-18,1156,1054,17,237,41,25,20,49,16,18,22,219,32,74,68,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,38,2021-09-25,1161,1043,15,243,31,21,11,34,17,24,20,237,38,88,81,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,39,2021-10-02,1208,1110,11,252,26,21,18,48,24,18,21,226,27,99,90,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,40,2021-10-09,1188,1098,13,247,33,26,14,50,16,17,26,221,52,83,71,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,41,2021-10-16,1242,1141,20,254,20,32,25,39,28,25,17,242,47,68,59,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,42,2021-10-23,1236,1135,18,227,28,27,15,62,22,23,17,258,54,78,67,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,43,2021-10-30,1246,1126,10,242,28,24,20,52,28,24,18,271,30,64,61,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,44,2021-11-06,1290,1180,20,242,42,27,17,65,28,23,26,213,40,75,69,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,45,2021-11-13,1285,1192,12,273,38,37,21,45,18,25,22,228,58,72,64,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,46,2021-11-20,1264,1192,22,259,33,39,14,59,20,20,37,227,58,72,66,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,47,2021-11-27,1269,1188,15,263,29,39,16,58,24,20,49,235,51,100,89,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,48,2021-12-04,1338,1245,16,225,33,37,18,52,20,26,64,243,49,139,127,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,49,2021-12-11,1448,1363,22,273,36,31,24,51,23,20,86,263,43,141,132,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,50,2021-12-18,1361,1292,18,252,36,34,22,49,22,39,83,216,43,167,155,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,51,2021-12-25,1402,1345,18,233,31,45,26,48,29,31,81,263,39,182,168,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2021,52,2022-01-01,1509,1460,27,240,27,38,24,59,21,27,118,229,59,257,232,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,1,2022-01-08,1514,1480,20,229,23,43,25,45,36,28,132,257,43,306,276,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,2,2022-01-15,1587,1538,16,246,34,41,26,47,25,31,119,264,56,329,284,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,3,2022-01-22,1678,1639,25,264,28,36,19,55,26,28,133,255,59,404,350,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,4,2022-01-29,1590,1549,16,237,46,35,19,50,25,29,141,245,60,335,287,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,5,2022-02-05,1403,1363,23,222,34,28,16,44,14,27,133,219,48,260,222,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,6,2022-02-12,1140,1114,14,207,23,33,14,25,14,23,108,206,50,157,136,,,,,,,,,,,,,,,
03/02/2022,Massachusetts,2022,7,2022-02-19,923,910,,194,19,17,12,31,20,23,90,171,29,78,54,,,Suppressed (counts 1-9),,,,,,,,,,,,
03/02/2022,Michigan,2020,1,2020-01-04,2015,1863,34,401,63,80,42,133,21,39,10,513,114,0,0,,,,,,,,,,,,,,,
03/02/2022,Michigan,2020,2,2020-01-11,2065,1924,23,414,62,85,38,161,37,40,,505,114,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Michigan,2020,3,2020-01-18,1934,1795,24,381,49,92,42,123,22,40,10,493,127,0,0,,,,,,,,,,,,,,,
03/02/2022,Michigan,2020,4,2020-01-25,2010,1879,22,451,78,83,36,120,28,35,,497,131,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Michigan,2020,5,2020-02-01,2001,1860,30,403,69,94,46,142,25,48,,514,82,0,0,,,,,,,,,,,Suppressed (counts 1-9),,,,
03/02/2022,Michigan,2020,6,2020-02-08,1940,1785,23,368,57,78,54,119,31,40,14,504,118,0,0,,,,,,,,,,,,,,,
03/02/2022,Michigan,2020,7,2020-02-15,2012,1864,30,425,65,92,55,110,33,46,10,531,111,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
